date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2022-11-20,1908,FIFA World Cup,Qatar,Ecuador,51.0,72.74,2.369,5.045,2.586,1.13,1.75,0,2,0.23,1.14,0.24,1.35,0.0,2.1
2022-11-21,1908,FIFA World Cup,England,Iran,85.96,62.17,6.274,1.187,2.539,1.7,0.58,6,2,01.04,1.45,1.5,0.32,5.78,2.1
2022-11-21,1908,FIFA World Cup,Senegal,Netherlands,73.84,86.01,2.235,5.053,2.712,0.99,1.63,0,2,0.7,0.68,1.22,1.83,0.0,1.58
2022-11-21,1908,FIFA World Cup,USA,Wales,74.83,65.58,4.489,2.591,292,1.42,01.01,1,1,0.33,1.78,0.48,0.95,01.05,01.05
2022-11-22,1908,FIFA World Cup,Argentina,Saudi Arabia,87.21,56.87,7.228,807,1.966,2.11,0.54,1,2,1.63,0.15,2.4,0.53,01.05,2.1
2022-11-22,1908,FIFA World Cup,Denmark,Tunisia,80.02,65.85,5.001,2.054,2.945,1.44,0.82,0,0,0.66,1.16,1.33,0.69,0.0,0.0
2022-11-22,1908,FIFA World Cup,Mexico,Poland,74.3,68.28,4.238,2.802,296,1.37,01.06,0,0,0.45,01.02,1.19,0.49,0.0,0.0
2022-11-22,1908,FIFA World Cup,France,Australia,87.71,60.83,6.921,1.009,207,02.09,0.65,4,1,03.03,0.26,03.01,0.3,4.18,01.05
2022-11-23,1908,FIFA World Cup,Morocco,Croatia,75.62,78.84,3.176,3.898,2.926,1.18,1.34,0,0,0.28,0.88,0.54,0.64,0.0,0.0
2022-11-23,1908,FIFA World Cup,Germany,Japan,88.77,71.44,6.041,174,2.219,2.14,01.06,1,2,3.1,1.2,3.1,0.85,01.05,2.1
2022-11-23,1908,FIFA World Cup,Spain,Costa Rica,89.51,55.46,7.623,595,1.781,2.19,0.44,7,0,2.39,0.0,1.71,0.15,6.22,0.0
2022-11-23,1908,FIFA World Cup,Belgium,Canada,82.49,71.59,4.888,2.462,265,1.68,1.12,1,0,0.65,2.6,1.18,2.31,01.05,0.0
2022-11-24,1908,FIFA World Cup,Switzerland,Cameroon,77.65,64.16,4.991,2.186,2.823,1.53,0.92,1,0,1.0,0.61,1.16,0.9,01.05,0.0
2022-11-24,1908,FIFA World Cup,Uruguay,South Korea,80.9,66.12,5.256,1.906,2.838,1.52,0.8,0,0,0.48,0.4,0.89,0.74,0.0,0.0
2022-11-24,1908,FIFA World Cup,Portugal,Ghana,87.77,58.63,6.974,912,2.114,2.0,0.56,3,2,1.89,0.52,1.63,0.27,2.9,2.1
2022-11-24,1908,FIFA World Cup,Brazil,Serbia,93.55,75.84,6.787,1.124,2.089,2.11,0.72,2,0,1.48,0.18,1.4,0.36,02.02,0.0
2022-11-25,1908,FIFA World Cup,Wales,Iran,67.64,63.33,3.875,2.969,3.156,1.2,01.01,0,2,0.9,1.43,0.89,1.67,0.0,1.26
2022-11-25,1908,FIFA World Cup,Qatar,Senegal,48.16,73.23,2.098,5.228,2.674,0.96,1.66,1,3,0.94,0.75,01.06,1.28,01.05,2.81
2022-11-25,1908,FIFA World Cup,Netherlands,Ecuador,86.07,74.37,4.949,2.248,2.803,1.55,0.95,1,1,0.07,0.8,0.43,01.09,01.05,01.05
2022-11-25,1908,FIFA World Cup,England,USA,86.26,72.63,5.436,1.965,2.598,1.73,0.94,0,0,0.62,0.52,1.34,0.74,0.0,0.0
2022-11-26,1908,FIFA World Cup,Tunisia,Australia,66.48,58.65,3.883,2.894,3.223,1.16,0.96,0,1,0.89,0.5,1.3,0.65,0.0,01.05
2022-11-26,1908,FIFA World Cup,Poland,Saudi Arabia,68.14,59.01,4.061,2.911,3.029,1.3,01.05,2,0,1.73,2.17,1.6,1.16,1.8,0.0
2022-11-26,1908,FIFA World Cup,France,Denmark,89.25,78.87,5.064,2.192,2.744,1.6,0.96,2,1,02.06,0.5,2.3,0.7,2.1,01.05
2022-11-26,1908,FIFA World Cup,Argentina,Mexico,86.09,73.48,5.079,1.993,2.928,1.45,0.8,2,0,0.26,0.18,0.72,0.45,1.66,0.0
2022-11-27,1908,FIFA World Cup,Japan,Costa Rica,71.98,51.99,5.955,1.498,2.547,1.74,0.74,0,1,0.7,0.14,1.15,0.09,0.0,01.05
2022-11-27,1908,FIFA World Cup,Belgium,Morocco,80.54,74.67,407,3.057,2.873,1.41,1.18,0,2,0.88,0.48,0.91,0.42,0.0,1.58
2022-11-27,1908,FIFA World Cup,Croatia,Canada,78.46,73.84,4.069,2.893,3.037,1.29,01.05,4,1,1.56,0.37,1.6,0.85,3.68,01.05
2022-11-27,1908,FIFA World Cup,Spain,Germany,91.22,88.73,4.619,2.781,0.26,1.72,1.28,1,1,0.57,0.91,1.32,01.06,01.05,01.05
2022-11-28,1908,FIFA World Cup,Cameroon,Serbia,63.62,74.55,2.444,4.575,2.981,0.94,1.39,3,3,0.91,1.2,0.85,1.95,3.15,3.15
2022-11-28,1908,FIFA World Cup,South Korea,Ghana,66.44,60.03,443,2.348,3.222,1.23,0.81,2,3,1.56,0.51,2.31,0.73,2.1,3.15
2022-11-28,1908,FIFA World Cup,Brazil,Switzerland,93.66,77.52,6.427,1.202,2.372,1.84,0.65,1,0,1.46,0.27,1.23,0.61,01.05,0.0
2022-11-28,1908,FIFA World Cup,Portugal,Uruguay,87.3,79.7,4.392,2.628,298,1.37,1.0,2,0,1.42,1.18,1.28,1.36,1.58,0.0
2022-11-29,1908,FIFA World Cup,Netherlands,Qatar,84.38,48.46,7.768,696,1.536,2.6,0.65,2,0,1.36,0.19,01.06,0.45,2.1,0.0
2022-11-29,1908,FIFA World Cup,Ecuador,Senegal,75.82,73.0,3.668,2.961,3.371,01.06,0.92,1,2,0.61,1.73,0.77,1.14,01.05,2.1
2022-11-29,1908,FIFA World Cup,Iran,USA,65.77,72.55,3.082,3.764,3.154,01.04,1.18,0,1,0.75,0.92,1.1,1.17,0.0,01.05
2022-11-29,1908,FIFA World Cup,Wales,England,65.17,85.41,1.437,0.6,2.564,0.7,1.72,0,3,0.28,1.8,0.32,1.93,0.0,3.15
2022-11-30,1908,FIFA World Cup,Tunisia,France,65.92,90.15,1.116,651,2.374,0.6,1.82,1,0,0.29,0.43,0.61,1.21,01.05,0.0
2022-11-30,1908,FIFA World Cup,Australia,Denmark,58.8,77.68,1.985,522,2.795,0.85,1.56,1,0,0.47,0.62,0.4,1.75,01.05,0.0
2022-11-30,1908,FIFA World Cup,Poland,Argentina,68.95,86.03,1.547,5.784,2.669,0.71,1.64,0,2,0.24,3.28,0.32,2.24,0.0,2.1
2022-11-30,1908,FIFA World Cup,Saudi Arabia,Mexico,58.41,72.44,2.307,4.627,3.066,0.86,1.34,1,2,0.62,1.81,0.71,2.27,01.05,2.1
2022-12-01,1908,FIFA World Cup,Canada,Morocco,71.52,74.99,2.898,3.956,3.147,0.99,1.21,1,2,0.98,0.37,0.68,0.24,01.05,2.1
2022-12-01,1908,FIFA World Cup,Croatia,Belgium,80.87,79.44,3.881,3.253,2.866,1.38,1.24,0,0,0.63,2.62,1.44,1.92,0.0,0.0
2022-12-01,1908,FIFA World Cup,Costa Rica,Germany,52.9,88.86,512,8.045,1.442,0.5,2.55,2,4,1.27,4.41,0.33,5.9,2.1,3.72
2022-12-01,1908,FIFA World Cup,Japan,Spain,70.43,90.62,1.391,6.135,2.474,0.71,1.79,2,1,0.53,0.79,0.81,1.1,2.1,01.05
2022-12-02,1908,FIFA World Cup,Ghana,Uruguay,60.5,79.28,1.564,5.669,2.766,0.68,1.57,0,2,1.35,1.12,0.73,1.44,0.0,2.1
2022-12-02,1908,FIFA World Cup,South Korea,Portugal,66.93,87.55,1.666,5.866,2.468,0.86,1.84,2,1,0.85,0.9,0.72,0.64,2.1,01.05
2022-12-02,1908,FIFA World Cup,Serbia,Switzerland,74.72,77.0,3.126,3.965,2.909,1.18,1.36,2,3,0.64,2.42,1.47,1.28,2.1,3.15
2022-12-02,1908,FIFA World Cup,Cameroon,Brazil,64.48,93.48,363,8.112,1.524,0.31,2.29,1,0,0.38,2.75,0.81,2.99,01.05,0.0
2022-12-03,1908,FIFA World Cup,Netherlands,USA,83.97,73.07,6.551,3.449,0.0,1.42,0.88,3,1,1.16,1.43,1.4,01.08,2.87,01.05
2022-12-03,1908,FIFA World Cup,Argentina,Australia,87.98,59.35,8.261,1.739,0.0,1.85,0.57,2,1,1.27,0.32,1.32,0.92,2.1,01.05
2022-12-04,1908,FIFA World Cup,France,Poland,88.57,65.77,8.133,1.867,0.0,1.99,0.71,3,1,1.17,1.91,1.54,0.85,2.52,01.05
2022-12-04,1908,FIFA World Cup,England,Senegal,86.97,75.47,6.814,3.186,0.0,1.47,0.83,3,0,0.87,01.09,0.97,0.62,3.15,0.0
2022-12-05,1908,FIFA World Cup,Japan,Croatia,73.02,79.14,454,546,0.0,1.1,1.27,1,1,1.55,1.43,0.94,1.61,01.05,01.05
2022-12-05,1908,FIFA World Cup,Brazil,South Korea,92.9,69.4,8.261,1.739,0.0,1.89,0.58,4,1,2.96,0.67,1.56,0.69,4.2,01.05
2022-12-06,1908,FIFA World Cup,Morocco,Spain,74.42,89.2,2.711,7.289,0.0,0.65,1.44,0,0,0.69,01.01,0.67,1.58,0.0,0.0
2022-12-06,1908,FIFA World Cup,Portugal,Switzerland,85.8,78.51,6.158,3.842,0.0,1.51,01.08,6,1,1.34,0.98,1.42,0.7,5.78,01.05
2022-12-09,1908,FIFA World Cup,Croatia,Brazil,78.99,93.47,2.264,7.736,0.0,0.68,1.72,1,1,0.62,1.9,1.1,2.74,01.05,01.05
2022-12-09,1908,FIFA World Cup,Netherlands,Argentina,84.19,87.32,4.238,5.762,0.0,01.04,1.31,2,2,0.43,1.52,1.29,1.79,2.1,02.03
2022-12-10,1908,FIFA World Cup,Morocco,Portugal,74.45,87.92,3.185,6.815,0.0,0.83,1.46,1,0,0.57,1.11,0.67,1.32,01.05,0.0
2022-12-10,1908,FIFA World Cup,England,France,87.59,87.53,516,484,0.0,1.29,1.23,1,2,2.42,0.97,1.4,1.53,01.05,2.1
2022-12-13,1908,FIFA World Cup,Argentina,Croatia,87.46,79.37,6.426,3.574,0.0,1.33,0.84,3,0,1.69,0.53,1.3,1.16,3.15,0.0
2022-12-14,1908,FIFA World Cup,France,Morocco,87.72,75.13,6.646,3.354,0.0,1.38,0.82,2,0,1.4,0.79,1.43,0.7,1.87,0.0
2022-12-17,1908,FIFA World Cup,Croatia,Morocco,77.65,73.92,5.325,4.675,0.0,0.97,0.88,2,1,0.76,0.96,1.52,0.73,2.1,01.05
2022-12-18,1908,FIFA World Cup,Argentina,France,88.86,88.41,5.321,4.679,0.0,1.3,1.18,3,3,2.81,2.25,2.36,0.76,3.15,3.15